Importer,City,Coefficient,Index,Textiles and furniture,"Vegetables, foodstuffs and wood",Stone and glass,Minerals,Metals,Chemicals and plastics,Transport vehicles,Machinery,Electronics,Other,"total, $"
USA,Hampton,0.007126267,342,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
USA,San Francisco,0.045396959,720,-0.0531627859234,-0.0149653354779,-0.00600088607726,-0.00057190384215,-0.014802653042,-0.0203809444744,-0.00806112272067,-0.0846281000554,-0.0745732762865,-0.00237688754122,-0.279440310579
JPN,Tokyo,1.0,1013,-0.0477235452154,-0.0236652126103,-0.00359767761747,-0.00293919202217,-0.0125961399653,-0.0186840901465,-0.00670399551502,-0.0521522761347,-0.0545897329966,-0.000474213165685,-0.223300877869
DEU,Berlin,1.0,195,-0.0320829352087,-0.00754668267857,-0.00264636177945,-0.000731691687036,-0.00747448028825,-0.00968341349066,-0.00465381249885,-0.0378950162516,-0.0263972131592,-7.41238728798e-06,-0.129119019429
GBR,London,1.0,480,-0.00738593157068,-0.00213384060788,-0.000726915101109,-3.5156649346e-05,-0.00188877841805,-0.00224177115918,-0.000741145501729,-0.00749415065604,-0.00584369294584,-0.000120898532813,-0.0286122811423
FRA,Paris,1.0,1003,-0.00734626923701,-0.00171909333194,-0.000545200535288,-4.04384291761e-05,-0.00141586475371,-0.00197740165821,-0.000549066300814,-0.00820305088509,-0.00759065156742,-1.41351847231e-05,-0.0294011718837
BRA,Santos,1.0,660,-0.00874125750492,-0.0027631474892,-0.00127557095857,-0.000397661191914,-0.00572949297311,-0.00958874782343,-0.00361282949493,-0.014924831279,-0.0165249246593,-2.68612999711e-06,-0.0635611495045
ITA,Rome,1.0,474,-0.00498485814379,-0.00138340424957,-0.000460921103842,-4.62696712823e-05,-0.00189206321753,-0.00185478891079,-0.000521795936664,-0.00492872912872,-0.00341580231021,-3.11782261937e-05,-0.0195198108987
RUS,Moscow,0.848559502,20,-0.0111905134144,-0.00461486758105,-0.000957565608132,-0.000179152160597,-0.00290284307553,-0.00311017837885,-0.00181552937127,-0.00747728326016,-0.00596317322435,-1.27972787828e-07,-0.0382112340475
RUS,Novosibirsk,0.109696845,313,-0.0111905134144,-0.00461486758105,-0.000957565608132,-0.000179152160597,-0.00290284307553,-0.00311017837885,-0.00181552937127,-0.00747728326016,-0.00596317322435,-1.27972787828e-07,-0.0382112340475
RUS,Vladivostok,0.041743653,595,-0.0111905134144,-0.00461486758105,-0.000957565608132,-0.000179152160597,-0.00290284307553,-0.00311017837885,-0.00181552937127,-0.00747728326016,-0.00596317322435,-1.27972787828e-07,-0.0382112340475
IND,Mumbai,1.0,1140,-0.00474031195034,-0.00138889536269,-0.00259703160411,-0.00104170349699,-0.00599002252181,-0.0142464301596,-0.00258857050761,-0.0130550307082,-0.0153545526581,-0.0012761915536,-0.062278740523
CAN,Vancouver,0.133403805,809,-0.00717422727005,-0.00244963373663,-0.000930606867271,-0.000149561488044,-0.00329114148275,-0.00256910250781,-0.00133551999182,-0.00804285142002,-0.00667342736056,-8.91331894011e-06,-0.0326249854437
CAN,Montreal,0.866596195,1175,-0.00717422727005,-0.00244963373663,-0.000930606867271,-0.000149561488044,-0.00329114148275,-0.00256910250781,-0.00133551999182,-0.00804285142002,-0.00667342736056,-8.91331894011e-06,-0.0326249854437
AUS,Port Hedland,0.003010986,260,-0.028628219397,-0.00910367775775,-0.00339854274855,-0.00225717703908,-0.0120222380817,-0.0145809085658,-0.00585429932906,-0.0316042885361,-0.0230085145645,-1.37762669965e-06,-0.130459243647
AUS,Sydney,0.996989014,1436,-0.028628219397,-0.00910367775775,-0.00339854274855,-0.00225717703908,-0.0120222380817,-0.0145809085658,-0.00585429932906,-0.0316042885361,-0.0230085145645,-1.37762669965e-06,-0.130459243647
KOR,Busan,0.256410256,1328,-0.0437552414346,-0.0271252420579,-0.0109913648688,-0.00914555940888,-0.0554159043497,-0.0358367181945,-0.00827119690646,-0.0572425306677,-0.137910287011,-3.7613783339e-05,-0.385731528445
KOR,Seoul,0.743589744,1100,-0.0437552414346,-0.0271252420579,-0.0109913648688,-0.00914555940888,-0.0554159043497,-0.0358367181945,-0.00827119690646,-0.0572425306677,-0.137910287011,-3.7613783339e-05,-0.385731528445
