City,Longitude,Latitude,Distance
Novara,8.231834,45.438138,0.388185522656
Tikhvin,33.030129,59.680614,0.485336996323
-,8.644042,53.980838,0.435725831229
Dortmund,7.727952,51.538168,0.278115084093
Jixi,130.99268,44.384027,0.91628870996
Gdansk,18.639363,54.371131,0.0110453610172
Khromtau,58.160744,50.263709,0.289062277027
Dalnegorsk,136.843029,43.816179,1.50934323466
-,-169.496027,65.726733,0.530616622431
Bahawalpur,71.674994,29.389975,0.0
-,4.447512,51.925325,0.0323882694814
Xingyi,104.971699,25.279386,0.206021843502
-,-5.834407,35.985197,0.238002100831
-,65.861513,29.349582,1.45240111539
-,27.905022,41.259849,0.477897478545
-,60.475733,56.883849,0.128576825284
-,60.436436,56.886712,0.168121979527
Khorgo,114.410366,75.336778,2.01139652978
Miami Beach,-79.651047,25.204002,0.773690506598
Mossel Bay,21.972938,-35.400177,1.23997943531
Hohhot,112.34471,40.998197,0.707749249381
-,86.838922,44.15572,0.815412165717
Nordvik,108.391083,73.587523,3.14836497249
Cordova,-146.217584,56.321832,4.24609962201
Zunyi,106.933235,27.69859,0.0130384048104
-,60.373855,56.863003,0.226373585031
Bordeaux,-0.595013,44.850013,0.0
-,30.335326,59.942021,0.0192353840617
Maceio,-32.139243,-12.895341,4.86013436028
-,9.155179,43.984647,0.480884601542
-,6.437832,45.240487,0.720502602355
-,37.918199,55.673029,0.312161817012
Liuzhou,109.293896,24.695579,0.418320451329
-,39.584941,46.407559,0.746351793727
Zalantun,122.798108,47.972571,0.0825408989532
Qazvin,50.031311,36.256352,0.0340147027034
-,131.951271,43.451143,0.323607787298
-,63.861905,39.514099,0.492686512907
Baranavichy,25.902247,53.139377,0.111018016556
Antwerpen,4.421059,51.214673,0.0078102496759
Nizhny Novgorod,43.94799,56.322794,0.0529528091795
-,32.560223,29.929294,0.0766550715869
Kecskemet,19.715727,46.898352,0.0161245154966
Zahedan,59.9177,29.85999,0.980481514359
-,50.703802,54.3972,0.97004793696
-,117.964862,32.835132,0.645329373266
-,64.171499,11.322955,8.50004447047
Tanta,30.985764,30.786813,0.0143178210633
Victoria,-122.980868,48.336336,0.38153636786
-,24.309897,52.403051,0.681108655062
-,34.213293,59.519389,0.710265443338
-,11.440984,48.26602,0.190924068677
Port Hedland,118.620655,-20.321286,0.0186010752377
Novoaltaysk,83.937316,53.381689,0.0278028775489
Damanhûr,30.562893,30.961786,0.128035151423
Baku,49.856956,40.402234,0.00860232526704
Istanbul,29.010002,41.104995,0.0
Baoji,107.107126,34.352054,0.0513127664427
Aral,61.721203,46.778246,0.0583095189484
Aksu,80.4853,41.33538,0.299081928575
Chengde,117.992682,41.103092,0.156262599492
Tskhinvali,43.667794,42.01034,0.378857492997
Kirovo-Chepetsk,50.328097,58.417039,0.315317300509
Erzincan,39.495757,39.737486,0.0162788205961
-,-175.077049,35.499897,16.7190174652
Alekseyevka,39.624732,50.658736,0.932019313105
-,26.842256,40.481199,0.549837248647
Mengzi,103.436215,23.412184,0.0583095189485
Perth,115.853052,-31.888876,0.0672681202354
Icel,34.607246,36.852718,0.0545710545986
-,106.564232,48.061158,0.381241393345
Linz,14.446472,48.045722,0.314925387989
Slyudyanka,103.636915,51.672027,0.0645600495663
Perm,56.131145,58.035217,0.124040316027
Obock,43.981471,11.916399,0.69733349267
Bur Said,32.306361,31.25519,0.0167630546142
Pevek,170.399628,69.67337,0.091394748208
-,28.952982,41.004642,0.115104300528
Hasselt,5.506302,50.882034,0.0848999411072
Karasuk,77.962775,53.775091,0.0760591874792
Novy Port,69.971941,73.757016,6.74161827754
-,120.315538,30.158814,0.172037786547
Budapest,19.083321,47.500006,0.0
-,60.843574,50.473409,1.33414392027
-,93.108719,56.025951,0.243296115875
Linkou,130.384119,44.623252,0.672090023732
Nis,21.540098,43.605438,0.4530176597
Almaty,76.915036,43.331274,0.006
-,105.467976,0.502211,1.07992314541
Hios,25.72166,38.177632,0.455517288366
Siracusa,15.92493,36.09756,1.16103789774
Houston,-95.369134,29.753941,0.0720902212509
-,107.879251,26.526975,1.16021118767
Progress,129.957246,49.700584,0.3435127363
Saraburi,100.755547,14.461703,0.141421356237
-,63.226011,56.953057,0.959588453453
Erfurt,10.951811,50.925913,0.089554452709
San Juan,-63.512156,21.977421,4.40048781387
Novi Sad,19.780936,45.297865,0.0840535543567
Jakarta,106.829438,-6.174418,0.0
-,131.983789,43.60632,0.197311935777
Svolvær,12.583587,68.869762,2.08280051853
Vyshnniy Volochek,34.516417,57.606714,0.0527730992078
Qui Nhon,113.563913,15.30644,4.64199655321
Namur,4.918229,51.010608,0.543125215765
Novosibirsk,82.951384,55.02996,0.009
Kirov,49.484001,58.52038,0.198736005797
-,60.975772,47.325412,0.867816800944
Shijianzhuang,114.477363,38.026495,0.0241867732449
Atka,-178.580088,49.823121,4.98151874432
-,6.103627,50.945195,0.436798580584
Kokshetau,69.402742,53.306311,0.0180277563773
Bugulma,53.01436,54.625309,0.23117309532
Curepipe,61.992481,-31.238852,11.8041329203
Furth,11.074859,49.705356,0.246677927671
-,46.929721,47.672294,0.973432072617
Slavgorod,78.768176,52.797569,0.229026199375
Tromsø,19.960141,70.743218,1.47128787122
-,29.657185,31.326003,0.318943568676
Piraiévs,23.642152,37.944808,0.0582151183113
Messina,15.820397,38.433763,0.357289798343
Vorontsovo,83.180304,71.765699,0.389974358131
-,6.354398,46.497172,0.297833846297
-,25.618156,39.205366,0.941803588866
-,51.333084,56.209161,0.748952601972
Aarau,7.8925,47.35216,0.146030818665
