,0,1,2,3
114,114.0,"92,1330","22.7851479285,22.0632222957","1,1"
115,115.0,"325,1437","228.367320245,156.596017658","4,4"
116,116.0,"984,685","62.6179321021,188.943945973","3,3"
117,117.0,"1007,584","535.51799099,786.378048466","3,3"
118,118.0,"863,679","75.3709469739,61.7025135566","1,1"
119,119.0,"1437,911","99.4532992088,78.5168775385","4,4"
120,120.0,"1264,1303","1881.57528538,2108.6853286","3,3"
121,121.0,"1315,511","26.2628896998,9.51538947596","3,3"
122,122.0,"1356,420","70.0799138986,81.4173659534","1,1"
123,123.0,"1142,1142,218,201,1142,1142","10.2177541624,10.2177541624,2.95558111081,13.6041852454,10.2177541624,10.2177541624","2,1,1,3,2,2"
124,124.0,"905,1039","11.9346743161,6.47859584516","1,1"
125,125.0,"374,619","168.652701437,28.3928526924","1,1"
126,126.0,"297,578,331","75.4435756561,76.2842819319,40.9452064736","3,3,3"
127,127.0,"448,522,448,522","19.5600058326,22.9951259447,19.5600058326,22.9951259447","1,1,2,2"
128,128.0,"1443,1350","144.341212295,149.244836774","1,1"
129,129.0,"323,497","78.6802896454,52.4832018464","1,1"
130,130.0,"215,595","217.974431639,209.610914506","4,4"
131,131.0,102,1187.13977113,3
132,132.0,"144,694","437.163489645,261.348472035","3,3"
133,133.0,"1391,863","33.8511598512,48.6321250955","1,1"
134,134.0,"911,1363","82.1495640005,258.049965956","4,4"
135,135.0,"383,306","36.6791003187,88.1827566535","1,1"
136,136.0,"1151,714,1151,714,1151,714","205.577437521,129.304766075,205.577437521,129.304766075,205.577437521,129.304766075","1,1,2,2,2,2"
137,137.0,"1293,528","17.140112006,6.23773632924","3,3"
138,138.0,"487,948,487,948,487,948,487,948","1.64586328534,1.92323076496,1.64586328534,1.92323076496,1.64586328534,1.92323076496,1.64586328534,1.92323076496","2,2,1,1,2,2,2,2"
139,139.0,"1276,1240,1276,519,1240","113.250203317,134.763829479,113.250203317,179.663298218,134.763829479","2,2,1,1,1"
140,140.0,"1177,148,1177,148,1177,148","171.140679456,66.5667109521,171.140679456,66.5667109521,171.140679456,66.5667109521","1,1,2,2,2,2"
141,141.0,"274,0","85.0056868354,54.5824038093","3,3"
